Category,Item,Spec,Cut length (mm),Quantity
Profile,2020,2020,840,17
Profile,2020,2020,780,16
Profile,2040,2040,4990,2
Profile,2040,2040,4960,2
Profile,2040,2040,2170,2
Profile,2040,2040,2160,2
Profile,2040,2040,770,4
Profile,2040,2040,760,4
Profile,4040,4040,920,5
Profile,4040,4040,840,1
Connector,"L型角码",20 系列,,85
Connector,"L型角码",40 系列,,13
Fastener,"螺栓 M5×10",20,,170
Fastener,"螺栓 M8×16",40,,26
Fastener,"T型螺母 M5",20,,170
Fastener,"T型螺母 M8",40,,26
Board,"620 × 600 mm","密度板 18mm",,1
Board,"820 × 620 mm","密度板 18mm",,2
Board,"880 × 260 mm","密度板 18mm",,1
Board,"880 × 620 mm","密度板 18mm",,1
Board,"920 × 260 mm","密度板 18mm",,1
Summary,Overall WxDxH,5040x3040x920,,
Summary,Total cut length (mm),,66880,
Summary,Board area (m2),,2.40,
